State,Employer_Name,Occupation
ALABAMA,"JOON, LLC D/B/A AJIN USA",Automotive
ALABAMA,MANDO AMERICA CORPORATION,Automotive
ALABAMA,"MERCEDES-BENZ U.S. INTERNATIONAL, INC.",Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,SEOHAN-NTN DRIVESHAFT USA CORPORATION,Automotive
ALABAMA,KWANGSUNG AMERICA CORP.,Automotive
ALABAMA,HYSCO AMERICA COMPANY INC.,Automotive
ALABAMA,GESTAMP ALABAMA LLC,Automotive
ALABAMA,SEOHAN AUTO USA CORPORATION,Automotive
ALABAMA,SEOHAN AUTO USA CORPORATION,Automotive
ALABAMA,HALLA CLIMATE SYSTEMS ALABAMA CORP.,Automotive
ALABAMA,"MERCEDES-BENZ U.S. INTERNATIONAL, INC.",Automotive
ALABAMA,"CNJ,INC.",Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,"SCA, INC.",Automotive
ALABAMA,"DAESIN ROBOT, LLC",Automotive
ALABAMA,JH INDUSTRY INC D/B/A WOOSHIN USA,Automotive
ALABAMA,"CNJ,INC.",Automotive
ALABAMA,HS AUTOMOTIVE ALABAMA INC,Automotive
ALABAMA,HANWHA L&C ALABAMA LLC,Automotive
ALABAMA,HALLA CLIMATE SYSTEMS ALABAMA CORP.,Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,DAEIL USA CORPORATION,Automotive
ALABAMA,"DONGWON AUTOPART TECHNOLOGY ALABAMA, LLC",Automotive
ALABAMA,"LEEHAN AMERICA, INC",Automotive
ALABAMA,"MERCEDES-BENZ U.S. INTERNATIONAL, INC.",Automotive
ALABAMA,"DONGWON AUTOPART TECHNOLOGY ALABAMA, LLC",Automotive
ALABAMA,KWANGSUNG AMERICA CORP.,Automotive
ALABAMA,MANDO AMERICA CORPORATION,Automotive
ALABAMA,"MERCEDES-BENZ U.S. INTERNATIONAL, INC.",Automotive
ALABAMA,GESTAMP ALABAMA LLC,Automotive
ALABAMA,PHA BODY SYSTEMS LLC,Automotive
ALABAMA,SL ALABAMA LLC,Automotive
ALABAMA,HS AUTOMOTIVE ALABAMA INC,Automotive
ALABAMA,"MERCEDES-BENZ U.S. INTERNATIONAL, INC.",Automotive
ALABAMA,"JOON, LLC D/B/A AJIN USA",Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,"C&J TECH ALABAMA, INC",Automotive
ALABAMA,"DAEWON AMERICA, INC",Automotive
ALABAMA,SEOHAN-NTN DRIVESHAFT USA CORPORATION,Automotive
ALABAMA,"NABI BUS, LLC",Automotive
ALABAMA,SEOHAN AUTO USA CORPORATION,Automotive
ALABAMA,MANDO AMERICA CORPORATION,Automotive
ALABAMA,KWANGSUNG AMERICA CORP.,Automotive
ALABAMA,HYSCO AMERICA COMPANY INC.,Automotive
ALABAMA,KWANGSUNG AMERICA CORP.,Automotive
ALABAMA,"CNJ,INC.",Automotive
ALABAMA,SCA INC.,Automotive
ALABAMA,HALLA CLIMATE SYSTEMS ALABAMA CORP.,Automotive
ALABAMA,DAEIL USA CORPORATION,Automotive
ALABAMA,MANDO AMERICA CORPORATION,Automotive
ALABAMA,MANDO AMERICA CORPORATION,Automotive
ALABAMA,HANWHA L&C ALABAMA LLC,Automotive
ALABAMA,MANDO AMERICA CORPORATION,Automotive
ALABAMA,"DONGWON AUTOPART TECHNOLOGY ALABAMA, LLC",Automotive
ALABAMA,"SJA, INC",Automotive
ALABAMA,"MERCEDES-BENZ U.S. INTERNATIONAL, INC.",Automotive
ALABAMA,"DAEWON AMERICA, INC",Automotive
