DECISION_DATE,CASE_STATUS,CLASS_OF_ADMISSION
27-May-08,CERTIFIED,H-1B
10-Apr-08,CERTIFIED,H-1B
5-Dec-07,CERTIFIED-EXPIRED,H-1B
21-Nov-07,CERTIFIED-EXPIRED,H-1B
6-Nov-07,DENIED,H-1B
9-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
12-Mar-08,CERTIFIED-EXPIRED,H-1B
16-Jan-08,CERTIFIED-EXPIRED,H-1B
3-Dec-07,CERTIFIED-EXPIRED,H-1B
30-Oct-07,CERTIFIED-EXPIRED,H-1B
30-Apr-08,CERTIFIED,H-1B
11-Oct-07,CERTIFIED-EXPIRED,H-1B
22-Sep-08,DENIED,H-1B
16-Sep-08,CERTIFIED,H-1B
10-Sep-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
23-Sep-08,CERTIFIED,H-1B
